qin,bin,mean,std,count
8,12.24404761904762,0.7973291587837257,0.014204615363826884,99
8,12.613095238095237,0.7845534237504558,0.017443146692347335,117
8,12.982142857142858,0.782407149143226,0.01419560813707212,162
8,13.351190476190478,0.782619719374199,0.013737356329377759,184
8,13.720238095238095,0.7771185385290204,0.01479860144233786,171
8,14.089285714285715,0.7741269193893646,0.011534944150101022,167
8,14.458333333333332,0.7687456776912348,0.012649402727495786,170
8,14.827380952380953,0.7710927749123168,0.012800223876913678,278
8,15.196428571428573,0.7683459389952508,0.009918718293798718,104
8,15.56547619047619,0.7698791385383339,0.01463197051590118,35
9,9.227631578947367,0.9454122757006936,0.027635727359606285,45
9,9.682894736842105,0.9135653901101258,0.024688708715216667,45
9,10.138157894736842,0.8917878004119704,0.01998399584660569,45
9,10.593421052631578,0.8747562901450013,0.01227775187204756,45
9,11.048684210526314,0.8590321948233494,0.016740088275809174,45
9,11.503947368421052,0.8497971044644228,0.017890693303756353,45
9,11.95921052631579,0.8331926465605181,0.019976633128318298,45
9,12.414473684210526,0.8127215225964327,0.013005872279438663,49
9,12.869736842105262,0.7986935854871182,0.012020607152377499,53
9,13.325,0.7891385386241345,0.011207519537958925,70
9,13.780263157894735,0.7821501671201487,0.007110914205507515,72
9,14.235526315789473,0.7706734271455193,0.009683086987403295,114
9,14.690789473684209,0.7712706398572892,0.01305572164297689,132
9,15.146052631578947,0.7731619314361172,0.011481719938132596,185
9,15.601315789473682,0.7701553500411829,0.011384108888421555,198
9,16.056578947368422,0.7694802061250178,0.013899723911846793,182
9,16.511842105263156,0.7746216657941355,0.012711047211816266,227
9,16.96710526315789,0.7701899074107759,0.010753790999498976,212
9,17.42236842105263,0.7591773966143998,0.009676789792374223,49
10,10.272222222222222,0.9138623154454149,0.015267516815254656,45
10,10.816666666666666,0.8860340673739632,0.017217339274227264,45
10,11.36111111111111,0.8634472659323107,0.018489592293483025,54
10,11.905555555555555,0.8473052000290838,0.012415768652083667,45
10,12.45,0.8322704306195563,0.012189844232782698,54
10,12.994444444444444,0.82600195472336,0.008134357579740814,45
10,13.53888888888889,0.8118921076231458,0.013357126094333559,54
